POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
446595	890.29	1194.69	802.04	1334.68	948.43	1173.5
378511	776.24	1022.17	719.47	1119.53	755.78	1095.26
173635	328.55	438.87	250.07	534.5	382	350.05
151385	319.07	417.2	264.12	484.91	338.84	355.01
64300	191	245.42	204.19	240.4	124.51	308.58
42870	104.58	135.43	105.09	140.24	80.57	157.66
69240	166.64	217.44	183.95	210.05	105.45	287.99
203764	391.8	525.59	319.7	627.95	384.71	517.52
32597	83.45	105.68	98.52	92.51	34.84	159.86
34728	66.6	85.47	83.77	71.04	24	140.82
22712	42.28	52.84	52.38	45.01	15.26	88.94
26283	73.79	92.66	90.12	81.03	33.34	145.06
356535	604.44	820.29	438.09	1019.57	678.13	627.94
62034	142.17	184.85	134.55	201.42	125.49	195.81
379241	522.82	706.01	328.1	935.58	749.2	350.46
276186	385.8	532.09	185.39	747.73	639.3	195.93
149313	346.43	456.71	350.38	470.28	265	532.24
365584	850.54	1120.77	821.76	1189.13	693.81	1257.11
33735	96.72	124.04	115.3	109.67	45.14	187.24
48403	134.61	170.63	162.81	150.61	61.36	256.54
36131	102.17	130.39	125.23	113.13	45.78	197.14
57644	138.99	180.46	143.94	183.27	100.74	220.01
34318	66.93	84.34	82.98	72.27	23.48	141.43
171145	371.61	492.69	331.11	555.44	348.53	497.38
421012	645.06	873.45	395.53	1156.59	857.53	469.43
33582	66.97	84.05	81.42	72.24	23.77	139.99
21904	62.43	78.83	74.93	69.44	29.44	117.95
14860	29.36	37.33	36.2	31.69	10.45	61.91
21111	42.24	53.26	52.68	45.75	14.61	87.35
133890	295.94	394.31	302.04	407.46	211.52	487.37
257044	709.22	912.05	813.91	834.99	360.71	1340.67
328196	856.82	1084	1005.07	970.97	421.25	1624.44
1023373	2291.51	3066.54	2102.51	3374.88	2052.03	3249.32
514107	1200.91	1548.64	1281.61	1540.67	818.81	2019.07
100234	271.25	343.59	307.55	320	157.55	473.3
317187	770.64	987.44	828.08	959.71	533.1	1269.09
179907	502.9	632.52	573.52	588.68	278.17	882.47
172975	398.53	523.56	409.04	535.66	300.38	633.05
133123	396.17	513.4	437.28	483.72	252.68	663.56
694965	1608.26	2070.88	1693.42	2064.26	1154.77	2603.59
45131	106.09	136.9	106.76	141.92	89.32	153.48
496298	1076.18	1450.21	1039.71	1532.53	812.46	1671.58
144258	452.81	587.09	520.8	540.26	229.27	844.42
123778	292.69	386.67	301.08	393.22	210.98	469.72
56074	167.44	211.28	192.39	197.45	92.85	297.25
70647	211	269.21	239.33	248.42	110.92	383.61
120591	293.55	385.14	313.63	380.45	184.29	494.28
72166	188.04	238.04	225.3	210.92	77.04	368.96
111704	289.09	364.71	344.11	321.88	118.2	561.28
85548	244.45	314.6	289.18	275.79	116.03	461.76
71734	216.24	282.95	248.79	257.71	119.86	392.06
566966	1113.39	1533.97	884.85	1831.76	1196.93	1351.51
140351	331.12	436.74	325.78	458.54	276.47	493.63
135633	367.31	476.99	422.59	436	198.18	676.31
67273	187.22	242.62	215.88	223.01	100.07	350.61
272573	601.77	799.48	562.23	872.46	518.56	873.72
39730	105	136.4	123.09	122.47	51.97	199.62
189046	438.54	579.47	457.67	585.34	333.03	692.2
234059	550.62	698.13	602.08	669.14	360.9	924.52
95349	268.79	349.2	313.06	314.96	140.16	503.82
157915	376.18	487.31	409.77	469.88	249.56	626.24
194778	456.56	602.5	490.47	594.42	314.59	777.13
########	63159.32	89148.19	47312.99	########	72727.8	84623.54
624529	1473.29	1910.34	1439.91	2042.22	1226.8	2173.4
244386	518.12	660.84	586.62	622.29	308.6	902.21
149146	329.24	417.41	376.71	392.61	207.2	569.47
341575	802.51	1052.81	787.18	1102.74	668.32	1194.94
668917	1440.33	1831.62	1619.04	1713.9	854.88	2563.32
1245077	2652.82	3531.49	2225.44	4165.59	2750.98	3431.83
1348270	3040.65	3962.37	2673.69	4497.67	3164.34	3836.52
1284746	2934.28	3848.82	2804.16	4101.81	2724.77	4067.41
1259855	2690.61	3549.94	2314.28	4110.18	2848.73	3267.57
2069289	4486.76	5975.4	3911.4	6770.99	4794.8	5524.74
624295	1436.01	1898.55	1489.99	1935.82	1095.18	2293.24
