POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
57495 	8.39 	3.73 	12.20 	0.00 	11.78 	0.00 
29379 	4.82 	2.13 	6.98 	0.00 	6.69 	0.00 
166037 	23.12 	10.12 	33.41 	0.00 	32.32 	0.00 
42778 	6.68 	2.90 	9.57 	0.00 	9.27 	0.00 
71268 	9.99 	4.37 	14.45 	0.00 	13.95 	0.00 
34787 	5.89 	2.61 	8.53 	0.00 	8.21 	0.00 
124512 	15.96 	7.08 	23.14 	0.00 	22.37 	0.00 
80500 	11.35 	5.05 	16.41 	0.00 	15.93 	0.00 
61389 	7.49 	3.31 	10.81 	0.00 	10.48 	0.00 
80495 	11.59 	5.10 	16.76 	0.00 	16.14 	0.00 
56629 	7.40 	3.25 	10.70 	0.00 	10.32 	0.00 
50342 	6.99 	3.10 	10.11 	0.00 	9.76 	0.00 
378486 	38.20 	16.99 	55.25 	0.00 	53.00 	0.00 
544964 	45.10 	19.92 	65.20 	0.00 	63.28 	0.00 
200194 	24.66 	10.92 	35.83 	0.00 	34.53 	0.00 
46416 	7.76 	3.41 	11.20 	0.00 	10.74 	0.00 
94133 	12.85 	5.67 	18.55 	0.00 	17.86 	0.00 
57070 	7.75 	3.41 	11.23 	0.00 	10.81 	0.00 
28712 	3.84 	1.68 	5.58 	0.00 	5.33 	0.00 
13806 	2.24 	0.99 	3.24 	0.00 	3.14 	0.00 
238843 	28.40 	12.60 	41.15 	0.00 	39.61 	0.00 
61943 	8.88 	3.90 	12.82 	0.00 	12.33 	0.00 
116657 	17.46 	7.69 	25.08 	0.00 	24.25 	0.00 
37647 	5.64 	2.48 	8.14 	0.00 	7.85 	0.00 
127985 	15.81 	7.00 	22.91 	0.00 	21.99 	0.00 
22847 	3.84 	1.70 	5.58 	0.00 	5.34 	0.00 
390073 	36.27 	16.22 	52.67 	0.00 	51.56 	0.00 
23265 	3.66 	1.63 	5.32 	0.00 	5.17 	0.00 
48028 	6.38 	2.84 	9.23 	0.00 	8.92 	0.00 
48574 	6.87 	3.07 	10.01 	0.00 	9.56 	0.00 
15143 	2.47 	1.10 	3.56 	0.00 	3.44 	0.00 
2287 	0.36 	0.16 	0.53 	0.00 	0.51 	0.00 
285650 	17.97 	7.95 	26.04 	0.00 	25.11 	0.00 
5923 	0.94 	0.42 	1.36 	0.00 	1.30 	0.00 
126922 	12.87 	5.75 	18.79 	0.00 	18.07 	0.00 
6085 	0.97 	0.43 	1.41 	0.00 	1.36 	0.00 
14872 	2.08 	0.91 	3.01 	0.00 	2.87 	0.00 
76172 	11.16 	4.90 	16.11 	0.00 	15.54 	0.00 
5511 	0.88 	0.39 	1.28 	0.00 	1.24 	0.00 
27791 	2.91 	1.29 	4.22 	0.00 	4.05 	0.00 
43660 	7.10 	3.12 	10.27 	0.00 	9.86 	0.00 
4772 	0.78 	0.34 	1.12 	0.00 	1.07 	0.00 
4169 	0.65 	0.29 	0.95 	0.00 	0.91 	0.00 
61384 	6.42 	2.88 	9.35 	0.00 	8.94 	0.00 
27548 	4.46 	1.98 	6.44 	0.00 	6.24 	0.00 
54345 	7.81 	3.48 	11.31 	0.00 	10.95 	0.00 
4335 	0.69 	0.31 	1.00 	0.00 	0.97 	0.00 
6275 	1.00 	0.44 	1.44 	0.00 	1.39 	0.00 
2809 	0.46 	0.20 	0.66 	0.00 	0.64 	0.00 
14238 	2.26 	1.01 	3.28 	0.00 	3.16 	0.00 
3732 	0.59 	0.26 	0.86 	0.00 	0.83 	0.00 
13061 	2.10 	0.92 	3.03 	0.00 	2.90 	0.00 
14076 	2.24 	1.00 	3.24 	0.00 	3.14 	0.00 
25783 	2.81 	1.26 	4.08 	0.00 	3.97 	0.00 
6384 	1.00 	0.44 	1.46 	0.00 	1.40 	0.00 
11055 	1.77 	0.78 	2.57 	0.00 	2.44 	0.00 
46005 	5.29 	2.32 	7.64 	0.00 	7.31 	0.00 
15362 	2.41 	1.07 	3.48 	0.00 	3.35 	0.00 
9190 	1.48 	0.66 	2.15 	0.00 	2.08 	0.00 
11241 	1.79 	0.80 	2.60 	0.00 	2.51 	0.00 
5537 	0.89 	0.39 	1.29 	0.00 	1.23 	0.00 
51168 	7.97 	3.54 	11.57 	0.00 	11.13 	0.00 
35032 	5.57 	2.48 	8.10 	0.00 	7.78 	0.00 
44843 	6.70 	2.94 	9.65 	0.00 	9.26 	0.00 
9706 	1.56 	0.69 	2.25 	0.00 	2.18 	0.00 
7520 	1.22 	0.54 	1.75 	0.00 	1.70 	0.00 
16861 	2.69 	1.20 	3.91 	0.00 	3.77 	0.00 
42298 	6.24 	2.76 	9.10 	0.00 	8.74 	0.00 
37282 	5.65 	2.47 	8.16 	0.00 	7.80 	0.00 
32629 	5.25 	2.32 	7.58 	0.00 	7.30 	0.00 
20466 	3.32 	1.47 	4.84 	0.00 	4.59 	0.00 
22899 	3.06 	1.35 	4.43 	0.00 	4.28 	0.00 
