POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
24109 	4.14 	1.97 	6.12 	0.00 	4.81 	0.00 
24140 	4.44 	2.06 	6.50 	0.00 	4.80 	0.00 
24149 	1.09 	0.48 	1.57 	0.00 	1.52 	0.00 
24156 	0.99 	0.43 	1.42 	0.00 	1.37 	0.00 
24196 	3.32 	1.58 	4.91 	0.00 	4.25 	0.00 
24224 	1.63 	0.72 	2.36 	0.00 	2.29 	0.00 
24228 	0.33 	0.14 	0.47 	0.00 	0.46 	0.00 
24243 	2.44 	1.07 	3.53 	0.00 	3.40 	0.00 
24267 	3.66 	1.69 	5.37 	0.00 	4.62 	0.00 
24290 	4.11 	1.86 	5.98 	0.00 	5.76 	0.00 
24295 	1.79 	0.78 	2.57 	0.00 	2.50 	0.00 
24340 	2.24 	1.04 	3.31 	0.00 	3.18 	0.00 
24353 	1.54 	0.67 	2.22 	0.00 	2.15 	0.00 
24362 	0.87 	0.38 	1.25 	0.00 	1.21 	0.00 
24364 	3.53 	1.66 	5.21 	0.00 	4.57 	0.00 
24364 	1.29 	0.56 	1.85 	0.00 	1.79 	0.00 
24400 	3.45 	1.59 	5.08 	0.00 	4.41 	0.00 
24431 	3.52 	1.61 	5.18 	0.00 	4.98 	0.00 
24448 	3.11 	1.48 	4.59 	0.00 	3.47 	0.00 
24468 	1.45 	0.63 	2.08 	0.00 	2.03 	0.00 
24472 	1.96 	0.85 	2.83 	0.00 	2.74 	0.00 
24482 	1.95 	0.85 	2.83 	0.00 	2.71 	0.00 
24485 	2.40 	1.06 	3.48 	0.00 	3.31 	0.00 
24514 	0.55 	0.26 	0.81 	0.00 	0.78 	0.00 
24525 	0.61 	0.27 	0.88 	0.00 	0.85 	0.00 
24535 	4.13 	1.96 	6.15 	0.00 	4.86 	0.00 
24541 	3.76 	1.67 	5.43 	0.00 	5.22 	0.00 
24550 	3.40 	1.60 	5.04 	0.00 	3.93 	0.00 
24562 	1.65 	0.72 	2.38 	0.00 	2.30 	0.00 
24576 	4.01 	1.86 	5.92 	0.00 	4.41 	0.00 
24582 	2.04 	0.89 	2.95 	0.00 	2.82 	0.00 
24604 	3.48 	1.65 	5.15 	0.00 	4.12 	0.00 
24622 	1.91 	0.83 	2.75 	0.00 	2.61 	0.00 
24625 	3.77 	1.71 	5.47 	0.00 	5.32 	0.00 
24628 	2.06 	0.90 	2.97 	0.00 	2.86 	0.00 
24660 	1.96 	0.92 	2.91 	0.00 	2.79 	0.00 
24671 	3.76 	1.74 	5.53 	0.00 	5.36 	0.00 
24683 	1.74 	0.77 	2.52 	0.00 	2.42 	0.00 
24713 	3.39 	1.58 	4.96 	0.00 	4.83 	0.00 
24744 	3.85 	1.79 	5.70 	0.00 	4.49 	0.00 
24778 	1.07 	0.46 	1.54 	0.00 	1.49 	0.00 
24893 	2.03 	0.89 	2.93 	0.00 	2.85 	0.00 
24895 	2.24 	1.05 	3.30 	0.00 	3.18 	0.00 
24921 	3.81 	1.85 	5.66 	0.00 	4.53 	0.00 
24955 	2.73 	1.29 	4.03 	0.00 	3.91 	0.00 
25005 	1.45 	0.64 	2.10 	0.00 	2.04 	0.00 
25057 	3.88 	1.82 	5.72 	0.00 	4.98 	0.00 
25058 	1.06 	0.47 	1.53 	0.00 	1.49 	0.00 
25077 	2.17 	0.93 	3.12 	0.00 	3.06 	0.00 
25087 	1.55 	0.67 	2.22 	0.00 	2.17 	0.00 
25130 	3.73 	1.68 	5.46 	0.00 	5.24 	0.00 
25135 	4.35 	2.04 	6.44 	0.00 	5.60 	0.00 
25163 	4.00 	1.86 	5.85 	0.00 	4.49 	0.00 
25207 	1.60 	0.69 	2.30 	0.00 	2.20 	0.00 
25221 	2.15 	0.94 	3.10 	0.00 	2.98 	0.00 
25255 	3.90 	1.86 	5.80 	0.00 	4.59 	0.00 
25300 	1.25 	0.55 	1.82 	0.00 	1.76 	0.00 
25315 	0.40 	0.17 	0.58 	0.00 	0.56 	0.00 
25319 	1.51 	0.65 	2.17 	0.00 	2.06 	0.00 
25328 	0.46 	0.20 	0.66 	0.00 	0.64 	0.00 
25330 	4.26 	1.97 	6.26 	0.00 	4.84 	0.00 
25344 	3.42 	1.58 	5.02 	0.00 	4.86 	0.00 
25373 	1.40 	0.61 	2.03 	0.00 	1.94 	0.00 
25380 	0.44 	0.20 	0.64 	0.00 	0.61 	0.00 
25428 	4.12 	1.94 	6.14 	0.00 	5.23 	0.00 
25464 	4.29 	1.99 	6.31 	0.00 	6.06 	0.00 
25470 	5.04 	2.32 	7.42 	0.00 	5.76 	0.00 
25556 	3.39 	1.58 	4.99 	0.00 	4.38 	0.00 
25556 	3.07 	1.42 	4.52 	0.00 	4.35 	0.00 
25568 	3.60 	1.71 	5.35 	0.00 	4.27 	0.00 
25634 	3.03 	1.38 	4.40 	0.00 	4.32 	0.00 
25636 	3.37 	1.58 	4.99 	0.00 	4.23 	0.00 
25654 	1.78 	0.78 	2.57 	0.00 	2.48 	0.00 
25669 	4.97 	2.31 	7.30 	0.00 	5.32 	0.00 
25715 	1.22 	0.53 	1.76 	0.00 	1.70 	0.00 
25727 	3.42 	1.56 	5.01 	0.00 	4.82 	0.00 
25736 	4.54 	2.13 	6.67 	0.00 	5.73 	0.00 
25751 	3.77 	1.74 	5.51 	0.00 	4.77 	0.00 
25765 	1.62 	0.71 	2.34 	0.00 	2.26 	0.00 
25767 	4.75 	2.19 	6.98 	0.00 	6.09 	0.00 
25797 	2.00 	0.96 	2.97 	0.00 	2.88 	0.00 
25861 	4.00 	1.89 	5.90 	0.00 	5.01 	0.00 
25900 	1.91 	0.84 	2.77 	0.00 	2.68 	0.00 
25962 	2.82 	1.27 	4.12 	0.00 	3.95 	0.00 
26030 	0.48 	0.21 	0.69 	0.00 	0.66 	0.00 
26039 	1.90 	0.83 	2.75 	0.00 	2.67 	0.00 
26052 	1.75 	0.77 	2.52 	0.00 	2.44 	0.00 
26058 	5.41 	2.55 	8.01 	0.00 	5.71 	0.00 
26058 	1.56 	0.68 	2.25 	0.00 	2.16 	0.00 
26075 	4.86 	2.29 	7.15 	0.00 	5.22 	0.00 
26079 	4.81 	2.23 	7.06 	0.00 	6.06 	0.00 
26083 	1.91 	0.88 	2.80 	0.00 	2.72 	0.00 
26102 	2.56 	1.11 	3.68 	0.00 	3.54 	0.00 
26138 	1.59 	0.70 	2.29 	0.00 	2.22 	0.00 
26279 	3.70 	1.74 	5.44 	0.00 	4.41 	0.00 
26286 	2.61 	1.18 	3.80 	0.00 	3.66 	0.00 
26331 	0.45 	0.21 	0.66 	0.00 	0.64 	0.00 
26339 	4.81 	2.21 	7.07 	0.00 	6.20 	0.00 
26344 	3.61 	1.65 	5.28 	0.00 	5.10 	0.00 
26373 	2.50 	1.08 	3.59 	0.00 	3.44 	0.00 
26379 	1.82 	0.80 	2.63 	0.00 	2.53 	0.00 
26392 	2.32 	1.02 	3.34 	0.00 	3.21 	0.00 
26421 	1.37 	0.60 	1.98 	0.00 	1.90 	0.00 
26501 	1.47 	0.64 	2.11 	0.00 	2.04 	0.00 
26524 	1.57 	0.68 	2.26 	0.00 	2.17 	0.00 
26535 	1.82 	0.80 	2.64 	0.00 	2.55 	0.00 
26545 	2.28 	0.99 	3.27 	0.00 	3.17 	0.00 
26548 	4.99 	2.29 	7.35 	0.00 	6.32 	0.00 
26655 	3.17 	1.50 	4.71 	0.00 	3.73 	0.00 
26707 	1.87 	0.82 	2.70 	0.00 	2.60 	0.00 
26749 	3.60 	1.69 	5.32 	0.00 	5.12 	0.00 
26768 	0.56 	0.25 	0.81 	0.00 	0.78 	0.00 
26770 	1.90 	0.83 	2.73 	0.00 	2.65 	0.00 
26794 	1.25 	0.55 	1.81 	0.00 	1.75 	0.00 
26818 	1.16 	0.51 	1.67 	0.00 	1.62 	0.00 
26827 	4.42 	2.04 	6.49 	0.00 	4.93 	0.00 
26853 	1.98 	0.86 	2.85 	0.00 	2.76 	0.00 
26856 	2.04 	0.89 	2.93 	0.00 	2.84 	0.00 
26870 	4.31 	2.00 	6.33 	0.00 	5.38 	0.00 
26871 	4.15 	1.96 	6.17 	0.00 	5.23 	0.00 
26891 	1.41 	0.66 	2.08 	0.00 	2.01 	0.00 
26908 	1.90 	0.83 	2.75 	0.00 	2.65 	0.00 
27011 	4.51 	2.09 	6.59 	0.00 	5.75 	0.00 
27028 	4.93 	2.34 	7.32 	0.00 	5.75 	0.00 
27040 	2.39 	1.04 	3.45 	0.00 	3.28 	0.00 
27071 	1.66 	0.72 	2.40 	0.00 	2.32 	0.00 
27077 	1.94 	0.85 	2.80 	0.00 	2.69 	0.00 
27102 	1.49 	0.65 	2.15 	0.00 	2.05 	0.00 
27181 	0.42 	0.18 	0.61 	0.00 	0.58 	0.00 
27196 	5.22 	2.48 	7.73 	0.00 	6.88 	0.00 
27226 	0.99 	0.43 	1.43 	0.00 	1.37 	0.00 
27261 	1.98 	0.87 	2.86 	0.00 	2.78 	0.00 
27263 	1.89 	0.82 	2.73 	0.00 	2.61 	0.00 
27265 	3.57 	1.69 	5.31 	0.00 	4.62 	0.00 
27421 	3.16 	1.44 	4.60 	0.00 	4.48 	0.00 
27429 	3.29 	1.51 	4.83 	0.00 	3.87 	0.00 
27445 	1.77 	0.78 	2.57 	0.00 	2.48 	0.00 
27471 	1.51 	0.65 	2.18 	0.00 	2.09 	0.00 
27543 	4.22 	1.90 	6.15 	0.00 	5.89 	0.00 
27561 	2.11 	0.91 	3.02 	0.00 	2.96 	0.00 
27573 	2.64 	1.21 	3.86 	0.00 	3.70 	0.00 
27574 	0.94 	0.41 	1.36 	0.00 	1.30 	0.00 
27574 	1.39 	0.60 	2.00 	0.00 	1.93 	0.00 
27749 	4.68 	2.14 	6.86 	0.00 	6.60 	0.00 
27778 	1.28 	0.56 	1.84 	0.00 	1.78 	0.00 
27846 	2.19 	0.97 	3.18 	0.00 	3.05 	0.00 
27846 	3.65 	1.72 	5.36 	0.00 	4.73 	0.00 
27857 	2.94 	1.28 	4.25 	0.00 	4.04 	0.00 
27862 	4.36 	2.02 	6.44 	0.00 	5.60 	0.00 
27903 	0.48 	0.21 	0.70 	0.00 	0.67 	0.00 
27958 	2.43 	1.06 	3.50 	0.00 	3.37 	0.00 
28082 	1.97 	0.85 	2.83 	0.00 	2.74 	0.00 
28104 	1.64 	0.72 	2.36 	0.00 	2.29 	0.00 
28118 	3.21 	1.51 	4.73 	0.00 	4.16 	0.00 
28119 	4.95 	2.29 	7.28 	0.00 	5.50 	0.00 
28133 	4.66 	2.20 	6.88 	0.00 	5.19 	0.00 
28161 	1.43 	0.63 	2.07 	0.00 	1.99 	0.00 
28229 	0.36 	0.16 	0.52 	0.00 	0.50 	0.00 
28258 	4.32 	1.96 	6.30 	0.00 	6.06 	0.00 
28299 	3.86 	1.74 	5.66 	0.00 	5.39 	0.00 
28304 	2.13 	0.93 	3.06 	0.00 	2.95 	0.00 
28321 	3.40 	1.54 	4.96 	0.00 	4.30 	0.00 
28347 	2.89 	1.35 	4.28 	0.00 	4.17 	0.00 
28356 	1.20 	0.55 	1.76 	0.00 	1.71 	0.00 
28438 	3.25 	1.50 	4.78 	0.00 	4.58 	0.00 
28449 	3.95 	1.80 	5.78 	0.00 	5.55 	0.00 
28465 	2.22 	0.98 	3.18 	0.00 	3.09 	0.00 
28480 	1.24 	0.54 	1.79 	0.00 	1.73 	0.00 
28503 	3.68 	1.72 	5.45 	0.00 	5.24 	0.00 
28709 	2.19 	1.00 	3.20 	0.00 	3.10 	0.00 
28781 	1.82 	0.78 	2.61 	0.00 	2.54 	0.00 
28789 	3.74 	1.73 	5.50 	0.00 	5.26 	0.00 
28805 	2.16 	0.93 	3.08 	0.00 	3.03 	0.00 
28855 	4.02 	1.91 	5.95 	0.00 	4.85 	0.00 
28899 	1.20 	0.52 	1.73 	0.00 	1.68 	0.00 
28910 	0.69 	0.30 	1.00 	0.00 	0.96 	0.00 
28935 	2.12 	0.94 	3.07 	0.00 	2.97 	0.00 
29000 	2.00 	0.95 	2.97 	0.00 	2.90 	0.00 
29023 	0.44 	0.19 	0.63 	0.00 	0.61 	0.00 
29059 	3.12 	1.46 	4.60 	0.00 	4.44 	0.00 
29067 	5.01 	2.32 	7.39 	0.00 	6.22 	0.00 
29103 	1.80 	0.79 	2.60 	0.00 	2.54 	0.00 
29107 	0.92 	0.40 	1.33 	0.00 	1.28 	0.00 
29152 	3.10 	1.34 	4.46 	0.00 	4.27 	0.00 
29161 	2.54 	1.19 	3.77 	0.00 	3.63 	0.00 
29193 	2.12 	0.93 	3.06 	0.00 	2.96 	0.00 
29233 	2.52 	1.10 	3.64 	0.00 	3.47 	0.00 
29310 	4.84 	2.25 	7.10 	0.00 	5.37 	0.00 
29380 	5.49 	2.55 	8.06 	0.00 	6.17 	0.00 
29438 	4.62 	2.15 	6.78 	0.00 	5.30 	0.00 
29443 	2.25 	0.99 	3.24 	0.00 	3.14 	0.00 
29452 	5.42 	2.51 	7.97 	0.00 	6.75 	0.00 
29507 	3.33 	1.52 	4.87 	0.00 	4.62 	0.00 
29556 	2.52 	1.10 	3.62 	0.00 	3.50 	0.00 
29557 	1.82 	0.80 	2.62 	0.00 	2.54 	0.00 
29628 	2.24 	0.99 	3.24 	0.00 	3.16 	0.00 
29660 	1.22 	0.53 	1.75 	0.00 	1.71 	0.00 
29682 	3.19 	1.52 	4.71 	0.00 	4.15 	0.00 
29692 	2.39 	1.04 	3.45 	0.00 	3.31 	0.00 
29727 	2.31 	1.00 	3.32 	0.00 	3.21 	0.00 
29742 	3.12 	1.46 	4.61 	0.00 	4.44 	0.00 
29745 	3.97 	1.83 	5.89 	0.00 	5.58 	0.00 
29791 	0.53 	0.23 	0.76 	0.00 	0.73 	0.00 
30043 	1.54 	0.67 	2.23 	0.00 	2.16 	0.00 
