POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
19977	44.56 	52.14 	22.42 	74.35 	6.67 	91.07 
47915	113.87 	131.79 	60.76 	186.12 	18.84 	227.22 
24584	53.79 	63.13 	26.68 	90.85 	7.91 	109.80 
19403	49.61 	57.40 	30.37 	76.93 	8.86 	98.21 
31449	80.52 	94.45 	44.95 	130.22 	13.31 	162.69 
34190	86.02 	100.07 	48.96 	137.95 	14.75 	171.58 
62538	150.67 	176.76 	104.23 	224.58 	28.43 	304.34 
17932	41.68 	48.64 	20.54 	70.14 	6.18 	84.82 
45597	114.05 	133.97 	68.48 	180.30 	20.97 	227.72 
18862	44.08 	51.50 	22.09 	73.72 	6.56 	88.97 
30104	69.65 	80.79 	33.88 	116.94 	9.99 	141.13 
50672	116.68 	136.94 	57.17 	197.14 	17.25 	238.33 
15046	33.23 	38.66 	16.44 	55.58 	4.87 	67.54 
133018	311.65 	367.08 	217.72 	463.96 	51.76 	634.42 
52969	131.43 	151.84 	77.48 	207.05 	23.63 	261.32 
35948	90.94 	105.68 	51.16 	145.85 	15.96 	182.07 
13751	31.18 	36.42 	15.14 	52.55 	4.52 	63.40 
23758	52.57 	61.70 	26.21 	88.97 	7.78 	107.94 
21431	48.03 	56.09 	23.93 	80.17 	7.10 	97.95 
11596	27.27 	32.22 	13.48 	46.57 	4.01 	56.14 
68131	173.78 	201.05 	97.82 	277.31 	31.48 	343.08 
16066	38.62 	44.80 	19.25 	64.82 	5.64 	77.78 
22016	49.89 	58.07 	24.61 	84.02 	7.31 	102.17 
52949	131.23 	151.46 	83.52 	199.93 	24.58 	261.33 
80016	191.95 	225.26 	117.47 	300.65 	35.60 	383.49 
55218	136.22 	159.01 	87.46 	207.74 	24.70 	271.25 
########	27743.09 	32348.32 	26052.53 	34286.94 	7549.48 	53775.03 
946033	972.83 	1117.08 	897.97 	1190.65 	274.04 	1841.21 
352633	586.23 	678.65 	483.51 	786.42 	147.36 	1127.24 
283706	470.50 	541.31 	387.39 	624.36 	116.88 	911.17 
313734	518.38 	599.10 	437.13 	683.80 	132.18 	994.48 
660432	1094.47 	1270.83 	922.61 	1455.39 	278.34 	2097.02 
